fold,period,train_start,test_start,test_end,best_sl_scale,best_tp_scale,is_sharpe,oos_sharpe,is_cagr,oos_cagr,oos_maxdd,oos_trades,oos_winrate
1,2023-01 → 2023-08,2023-01-01 06:00:00,2023-06-30 06:00:00,2023-08-29 05:00:00,1.25,1.25,2.2232846328178044,-0.8936711266573584,39.24018365146551,-11.485837568938228,-4.5599162001692655,11,27.27272727272727
2,2023-03 → 2023-10,2023-03-02 06:00:00,2023-08-29 06:00:00,2023-10-28 05:00:00,0.75,1.25,1.7146743032144236,-1.0376675461761151,44.73878250631142,-20.048181852432357,-10.828830643766722,17,17.647058823529413
3,2023-05 → 2023-12,2023-05-01 06:00:00,2023-10-28 06:00:00,2023-12-27 05:00:00,0.75,1.25,-0.46556159403077296,0.010324336459517825,-10.199121847170122,-1.552069917501997,-6.731086193049639,15,20.0
4,2023-06 → 2024-02,2023-06-30 06:00:00,2023-12-27 06:00:00,2024-02-25 05:00:00,1.0,0.75,0.19247174317282362,3.0124596888745145,1.6601523741990976,51.85727404467051,-1.6617487936644428,13,53.84615384615385
5,2023-08 → 2024-04,2023-08-29 06:00:00,2024-02-25 06:00:00,2024-04-25 05:00:00,1.0,1.0,1.2617623452540458,-4.818914276504872,20.285853044177603,-40.53583117257483,-8.058884347393581,12,8.333333333333332
6,2023-10 → 2024-06,2023-10-28 06:00:00,2024-04-25 06:00:00,2024-06-24 05:00:00,0.75,0.75,1.0641979865928546,0.7855195681238358,17.303256183424498,12.428715953634907,-3.932049212466969,18,33.33333333333333
7,2023-12 → 2024-08,2023-12-27 06:00:00,2024-06-24 06:00:00,2024-08-23 05:00:00,0.75,0.75,1.3767142379256816,2.5594170767762687,23.449241663099585,56.82719398144327,-4.432120037202665,15,40.0
8,2024-02 → 2024-10,2024-02-25 06:00:00,2024-08-23 06:00:00,2024-10-22 05:00:00,0.75,0.75,0.9348308272458585,-1.2657693448934575,14.90353560064901,-17.458765645652385,-4.586324487183727,13,23.076923076923077
9,2024-04 → 2024-12,2024-04-25 06:00:00,2024-10-22 06:00:00,2024-12-21 05:00:00,0.75,0.75,0.8391612577179507,0.5075984000079593,13.166069158901372,7.223068078349959,-4.474584424440637,15,33.33333333333333
10,2024-06 → 2025-02,2024-06-24 06:00:00,2024-12-21 06:00:00,2025-02-19 05:00:00,1.25,1.25,2.3639864277154605,0.7903947374983654,44.17135179453076,10.178303892847262,-4.811108438287786,11,27.27272727272727
11,2024-08 → 2025-04,2024-08-23 06:00:00,2025-02-19 06:00:00,2025-04-20 05:00:00,1.25,1.0,2.258399113814699,-1.7705296704974869,34.82268642843829,-21.04728013485281,-6.853384658585806,16,25.0
