fold,period,train_start,train_end,test_start,test_end,best_sl,best_tp,is_sharpe,oos_sharpe,is_cagr,oos_cagr,oos_maxdd,oos_trades,oos_winrate
1,2023-01 – 2023-05,2023-01-01 06:00:00,2023-05-01 05:00:00,2023-05-01 06:00:00,2023-05-31 05:00:00,2.0,3.0,1.4608305484116244,-2.1590961559228488,20.77234328844444,-25.594803564688473,-2.748072486460449,14,42.857142857142854
2,2023-01 – 2023-06,2023-01-31 06:00:00,2023-05-31 05:00:00,2023-05-31 06:00:00,2023-06-30 05:00:00,1.5,3.0,0.6354134062355046,-2.46738295461944,9.895362684713449,-28.526718624398807,-4.591296630268965,8,25.0
3,2023-03 – 2023-07,2023-03-02 06:00:00,2023-06-30 05:00:00,2023-06-30 06:00:00,2023-07-30 05:00:00,1.5,3.0,0.28840734718556915,3.430753325511445,3.489719876379249,70.95359201235534,-2.2966425315756855,9,55.55555555555556
4,2023-04 – 2023-08,2023-04-01 06:00:00,2023-07-30 05:00:00,2023-07-30 06:00:00,2023-08-29 05:00:00,1.0,3.0,0.9965522019925357,-6.180946064755083,21.107728069245635,-62.42783712028126,-7.482850016980535,10,10.0
5,2023-05 – 2023-09,2023-05-01 06:00:00,2023-08-29 05:00:00,2023-08-29 06:00:00,2023-09-28 05:00:00,1.0,2.5,0.3388640112001216,-2.430962817596324,4.626360399017826,-35.861070270971275,-5.958715309934184,14,28.57142857142857
6,2023-05 – 2023-10,2023-05-31 06:00:00,2023-09-28 05:00:00,2023-09-28 06:00:00,2023-10-28 05:00:00,1.0,2.5,-0.6275780590399168,-0.7344081561523652,-11.697210168561266,-16.3612415986643,-3.15523082893357,16,31.25
7,2023-06 – 2023-11,2023-06-30 06:00:00,2023-10-28 05:00:00,2023-10-28 06:00:00,2023-11-27 05:00:00,1.5,2.5,-0.08389305927472168,6.217419804947307,-2.3093242727761587,204.1143544520843,-2.431291428999774,15,66.66666666666666
8,2023-07 – 2023-12,2023-07-30 06:00:00,2023-11-27 05:00:00,2023-11-27 06:00:00,2023-12-27 05:00:00,1.5,2.5,0.8051410729070378,-2.8521889634380315,12.093868167417043,-41.74480529427645,-7.40101892644867,21,33.33333333333333
9,2023-08 – 2024-01,2023-08-29 06:00:00,2023-12-27 05:00:00,2023-12-27 06:00:00,2024-01-26 05:00:00,1.0,2.5,1.2212909544087736,-1.9686044878983364,27.74537882599337,-36.52619163469908,-7.562365335553476,17,29.411764705882355
10,2023-09 – 2024-02,2023-09-28 06:00:00,2024-01-26 05:00:00,2024-01-26 06:00:00,2024-02-25 05:00:00,1.5,2.5,1.2677041521809507,0.7762756363859765,22.896069515619622,10.854127011559989,-2.384009676538432,10,50.0
11,2023-10 – 2024-03,2023-10-28 06:00:00,2024-02-25 05:00:00,2024-02-25 06:00:00,2024-03-26 05:00:00,1.0,2.5,1.8774699013545122,-0.5623063640200143,48.78424085496267,-9.590314031206503,-6.301367988309678,8,37.5
12,2023-11 – 2024-04,2023-11-27 06:00:00,2024-03-26 05:00:00,2024-03-26 06:00:00,2024-04-25 05:00:00,1.0,2.5,-0.11190095758979528,-0.7557684047142752,-4.112433079764644,-11.431749770207533,-2.507422940223479,10,40.0
13,2023-12 – 2024-05,2023-12-27 06:00:00,2024-04-25 05:00:00,2024-04-25 06:00:00,2024-05-25 05:00:00,1.5,2.5,0.1071780599981706,-7.199258809058119,0.5340199843335114,-69.23352738762654,-11.187197228387129,17,17.647058823529413
14,2024-01 – 2024-06,2024-01-26 06:00:00,2024-05-25 05:00:00,2024-05-25 06:00:00,2024-06-24 05:00:00,1.0,3.0,-0.7027839759571344,-2.173323032424027,-13.921970713230369,-35.42966431624107,-6.567779939890192,13,23.076923076923077
15,2024-02 – 2024-07,2024-02-25 06:00:00,2024-06-24 05:00:00,2024-06-24 06:00:00,2024-07-24 05:00:00,1.0,3.0,-2.5474675783648753,1.5225080287647272,-37.69297622502026,28.309033425082596,-2.6237045260299947,8,37.5
16,2024-03 – 2024-08,2024-03-26 06:00:00,2024-07-24 05:00:00,2024-07-24 06:00:00,2024-08-23 05:00:00,1.0,3.0,-1.5612893039932205,5.578337950854526,-26.180460571189823,255.15971498213764,-1.4008419792864757,9,66.66666666666666
17,2024-04 – 2024-09,2024-04-25 06:00:00,2024-08-23 05:00:00,2024-08-23 06:00:00,2024-09-22 05:00:00,1.0,3.0,0.3011146304423154,-3.1685844910924916,4.1640992188048065,-35.856946205226414,-3.8052209565002375,6,16.666666666666664
18,2024-05 – 2024-10,2024-05-25 06:00:00,2024-09-22 05:00:00,2024-09-22 06:00:00,2024-10-22 05:00:00,1.5,2.5,1.6755714456709394,-4.691399917089958,21.91015823140152,-46.11063291181638,-6.197015992346804,13,23.076923076923077
19,2024-06 – 2024-11,2024-06-24 06:00:00,2024-10-22 05:00:00,2024-10-22 06:00:00,2024-11-21 05:00:00,2.0,3.0,2.0518589720941844,0.8858094359307651,24.387186058199852,8.459109911424378,-1.6338461452791424,6,50.0
20,2024-07 – 2024-12,2024-07-24 06:00:00,2024-11-21 05:00:00,2024-11-21 06:00:00,2024-12-21 05:00:00,2.0,3.0,1.0126391241594241,4.527261589326699,10.877092045770077,88.83462294603224,-1.7580464549461685,12,66.66666666666666
