fold,period,train_start,test_start,test_end,best_sl_scale,best_tp_scale,is_sharpe,oos_sharpe,is_cagr,oos_cagr,oos_maxdd,oos_trades,oos_winrate
1,2023-01 → 2023-05,2023-01-01 06:00:00,2023-05-01 06:00:00,2023-05-31 05:00:00,1.25,1.25,3.6565313594291218,0.45262948881497,85.09218665676377,5.688477371883516,-2.1847556023967365,8,37.5
2,2023-01 → 2023-06,2023-01-31 06:00:00,2023-05-31 06:00:00,2023-06-30 05:00:00,1.25,1.25,2.974876691758917,-7.887475325228168,64.43955903218426,-45.61032103624043,-4.723401887697742,5,0.0
3,2023-03 → 2023-07,2023-03-02 06:00:00,2023-06-30 06:00:00,2023-07-30 05:00:00,1.25,0.75,2.1307064718496305,1.0360872305111692,28.50969945846151,12.783969381982917,-2.7302632611413147,7,42.857142857142854
4,2023-04 → 2023-08,2023-04-01 06:00:00,2023-07-30 06:00:00,2023-08-29 05:00:00,0.75,0.75,2.124220087913272,-3.352614705889106,42.61883938773805,-36.48277492220616,-3.5417616544672965,7,14.285714285714285
5,2023-05 → 2023-09,2023-05-01 06:00:00,2023-08-29 06:00:00,2023-09-28 05:00:00,0.75,1.25,-0.17293116279774046,-1.3058032904832853,-4.96094290305108,-25.991433015793707,-7.658753960585975,11,18.181818181818183
6,2023-05 → 2023-10,2023-05-31 06:00:00,2023-09-28 06:00:00,2023-10-28 05:00:00,1.0,0.75,-0.0054830908735109,-2.8190573638451855,-0.8452090755627806,-26.23881429837892,-2.389024231535742,5,20.0
7,2023-06 → 2023-11,2023-06-30 06:00:00,2023-10-28 06:00:00,2023-11-27 05:00:00,1.25,1.25,-0.014269756529297451,-2.657044486059252,-1.1246943113844554,-29.34418102824079,-3.2487463254390643,7,14.285714285714285
8,2023-07 → 2023-12,2023-07-30 06:00:00,2023-11-27 06:00:00,2023-12-27 05:00:00,1.25,0.75,-0.6392105936194931,1.1756252925430295,-7.194104006599256,13.798288540228842,-3.1915298596743655,8,50.0
9,2023-08 → 2024-01,2023-08-29 06:00:00,2023-12-27 06:00:00,2024-01-26 05:00:00,1.25,0.75,0.6248010059692689,2.3688932904838067,6.750767625497955,36.854737166627835,-1.141992635079794,8,50.0
10,2023-09 → 2024-02,2023-09-28 06:00:00,2024-01-26 06:00:00,2024-02-25 05:00:00,1.25,1.25,1.6148552669605374,1.9393535861963462,25.51307116964687,26.0886787392145,-2.1785459970903127,4,50.0
11,2023-10 → 2024-03,2023-10-28 06:00:00,2024-02-25 06:00:00,2024-03-26 05:00:00,0.75,1.0,2.0848681782670324,-8.329044146398918,49.342824798530046,-51.43929140897643,-5.5776728684090555,5,0.0
12,2023-11 → 2024-04,2023-11-27 06:00:00,2024-03-26 06:00:00,2024-04-25 05:00:00,1.25,1.25,1.881468599755622,-2.608575020647346,28.716736195576754,-28.8624374117314,-3.201648927301988,7,14.285714285714285
13,2023-12 → 2024-05,2023-12-27 06:00:00,2024-04-25 06:00:00,2024-05-25 05:00:00,0.75,0.75,1.6777882684916334,0.3375811703238942,29.53650923953304,4.470103287538807,-3.9320492124669757,10,30.0
14,2024-01 → 2024-06,2024-01-26 06:00:00,2024-05-25 06:00:00,2024-06-24 05:00:00,0.75,0.75,0.7706631891990927,-0.96761415226288,11.00757336927316,-13.11088803974606,-3.8619896086088845,7,28.57142857142857
15,2024-02 → 2024-07,2024-02-25 06:00:00,2024-06-24 06:00:00,2024-07-24 05:00:00,0.75,0.75,-0.016949227267698243,4.034759363639454,-1.4029316023729588,128.09140232399497,-2.3271017764346396,8,50.0
16,2024-03 → 2024-08,2024-03-26 06:00:00,2024-07-24 06:00:00,2024-08-23 05:00:00,0.75,0.75,1.5060287611351673,0.6535469575434908,28.02870705841405,9.514719867826994,-4.432120037202659,7,28.57142857142857
17,2024-04 → 2024-09,2024-04-25 06:00:00,2024-08-23 06:00:00,2024-09-22 05:00:00,0.75,0.75,1.7109834601744482,-1.3212355507149471,32.46905650757663,-15.23661688064969,-2.2281776628283647,5,20.0
18,2024-05 → 2024-10,2024-05-25 06:00:00,2024-09-22 06:00:00,2024-10-22 05:00:00,0.75,0.75,1.0325289814336944,-1.256607274112611,16.016601352314662,-20.152702613827987,-4.586324487183736,8,25.0
19,2024-06 → 2024-11,2024-06-24 06:00:00,2024-10-22 06:00:00,2024-11-21 05:00:00,1.25,0.75,0.9368908493261274,4.077362219601496,10.61695450945419,68.27987549499386,-1.1226913565288872,6,66.66666666666666
20,2024-07 → 2024-12,2024-07-24 06:00:00,2024-11-21 06:00:00,2024-12-21 05:00:00,1.25,1.25,2.105705529328748,4.6741454321374665,37.8892844664241,125.7437810984114,-1.0895021082670164,5,60.0
21,2024-08 → 2025-01,2024-08-23 06:00:00,2024-12-21 06:00:00,2025-01-20 05:00:00,1.25,1.25,2.8435002168171177,-2.2386872481093,57.520600467859275,-24.653561921504185,-4.811108438287799,7,14.285714285714285
22,2024-09 → 2025-02,2024-09-22 06:00:00,2025-01-20 06:00:00,2025-02-19 05:00:00,1.25,1.0,3.1211430445437207,2.6288644855888537,56.630388612529956,40.44274210336363,-1.635545657735907,6,50.0
23,2024-10 → 2025-03,2024-10-22 06:00:00,2025-02-19 06:00:00,2025-03-21 05:00:00,1.25,1.0,3.5469535360528432,0.0063955838757036075,65.75298828016196,-0.7554479204103348,-2.6854668432264908,7,28.57142857142857
24,2024-11 → 2025-04,2024-11-21 06:00:00,2025-03-21 06:00:00,2025-04-20 05:00:00,1.25,1.0,2.328951980736627,-2.692582082756428,36.20727860061073,-28.905454851868196,-5.814262469273185,8,25.0
