fold,period,train_start,test_start,test_end,best_sl,best_tp,is_sharpe,oos_sharpe,is_cagr,oos_cagr,oos_maxdd,oos_trades,oos_winrate
1,2023-01 → 2023-10,2023-01-01 06:00:00,2023-08-29 06:00:00,2023-10-28 05:00:00,2.0,3.0,1.4198422843447511,-1.5939237525939876,18.66572315621111,-20.881180607873485,-6.660515841752354,28,39.285714285714285
2,2023-03 → 2023-12,2023-03-02 06:00:00,2023-10-28 06:00:00,2023-12-27 05:00:00,2.0,3.0,0.7898636698090195,-2.5027162228517503,9.989050804118182,-28.323973421495864,-8.499459594944927,25,32.0
3,2023-05 → 2024-02,2023-05-01 06:00:00,2023-12-27 06:00:00,2024-02-25 05:00:00,1.0,2.5,0.6390844328291767,0.4904569881607249,11.057702522029778,8.595118149547943,-6.282565142803332,29,41.37931034482759
4,2023-06 → 2024-04,2023-06-30 06:00:00,2024-02-25 06:00:00,2024-04-25 05:00:00,1.0,3.0,0.8561642507534689,-2.002272744799025,17.578899002855053,-29.445032692311703,-6.174547643927434,21,23.809523809523807
5,2023-08 → 2024-06,2023-08-29 06:00:00,2024-04-25 06:00:00,2024-06-24 05:00:00,1.0,3.0,-0.1416794147489108,-6.139965562648466,-4.844860735979295,-62.199768912128505,-16.37997945995716,28,17.857142857142858
6,2023-10 → 2024-08,2023-10-28 06:00:00,2024-06-24 06:00:00,2024-08-23 05:00:00,1.5,2.5,-0.13573135909591805,-0.8907406485670132,-2.854527207840929,-13.0972413281346,-7.017924979710151,25,40.0
7,2023-12 → 2024-10,2023-12-27 06:00:00,2024-08-23 06:00:00,2024-10-22 05:00:00,1.5,2.0,-0.20025495564531787,-1.3584006048915047,-3.331805420612788,-17.235882528474534,-5.8398829137266235,23,43.47826086956522
8,2024-02 → 2024-12,2024-02-25 06:00:00,2024-10-22 06:00:00,2024-12-21 05:00:00,1.5,2.0,-1.0720967998361497,3.013645475362317,-13.328990851889689,51.21511585913841,-3.349695267715157,29,62.06896551724138
9,2024-04 → 2025-02,2024-04-25 06:00:00,2024-12-21 06:00:00,2025-02-19 05:00:00,1.0,2.5,0.6762880294606168,-1.609868028201134,11.706773210480058,-24.035033872813173,-10.145372227731217,23,30.434782608695656
10,2024-06 → 2025-04,2024-06-24 06:00:00,2025-02-19 06:00:00,2025-04-20 05:00:00,1.0,2.5,1.4115849817598718,-1.631270432879815,28.703245269794976,-28.296404730625323,-7.719861382248566,30,30.0
